Time,Section,Velocity
1234,370,10.584
1234,371,4.464
1234,372,5.7
1234,373,5.7
1234,390,-2.664
1234,391,-2.916
1234,392,-2.136
1234,399,2.58
1235,337,0.288
1235,338,-0.288
1235,339,0.276
1235,362,9.228
1235,363,8.712
1235,364,10.32
1235,365,-5.496
1235,366,6.3
1235,367,5.7
1235,369,9.504
1235,370,10.464
1235,371,4.464
1235,372,5.7
1235,373,5.7
1235,390,-2.604
1235,391,-2.796
1235,392,-2.124
1235,399,2.58
1236,337,0.288
1236,338,-0.288
1236,339,0.276
1236,362,9.192
1236,363,8.64
1236,364,10.356
1236,365,-5.28
1236,366,6.3
1236,367,5.688
1236,369,9.336
1236,370,10.356
1236,371,4.464
1236,372,5.688
1236,373,5.7
1236,390,-2.556
1236,391,-2.7
1236,392,-2.124
1236,399,2.58
1241,337,0.288
1241,338,-0.288
1241,339,0.288
1241,362,9.132
1241,363,9.168
1241,364,9.96
1241,365,0.288
1241,366,6.3
1241,367,5.688
1241,369,10.62
1241,370,10.932
1241,371,4.452
1241,372,5.688
1241,373,5.688
1241,390,3.336
1241,391,-3.792
1241,392,-2.16
1241,399,2.58
1242,337,0.288
1242,338,-0.288
1242,339,0.288
1242,362,8.928
1242,363,8.892
1242,364,10.164
1242,365,-6.12
1242,366,6.3
1242,367,5.688
1242,369,9.912
1242,370,10.692
1242,371,4.464
1242,372,5.688
1242,373,5.688
1242,390,-2.796
1242,391,-3.18
1242,392,-2.136
1242,399,2.58
1243,337,0.288
1243,338,-0.288
1243,339,0.276
1243,362,8.868
1243,363,8.808
1243,364,10.224
1243,365,-5.88
1243,366,6.3
1243,367,5.688
1243,369,9.708
1243,370,10.584
1243,371,4.464
1243,372,5.688
1243,373,5.688
1243,390,-2.712
1243,391,-3.024
1243,392,-2.136
1243,399,2.58
1244,337,0.288
1244,338,-0.288
1244,339,0.276
1244,362,8.82
1244,363,8.724
1244,364,10.26
1244,365,-5.652
1244,366,6.3
1244,367,5.688
1244,369,9.528
1244,370,10.476
1244,371,4.464
1244,372,5.688
1244,373,5.688
1244,390,-2.652
1244,391,-2.904
1244,392,-2.124
1244,399,2.58
1245,337,0.288
1245,338,-0.288
1245,339,0.276
1245,362,8.772
1245,363,8.664
1245,364,10.296
1245,365,-5.424
1245,366,6.3
1245,367,5.688
1245,369,9.348
1245,370,10.368
1245,371,4.464
1245,372,5.688
1245,373,5.688
1245,390,-2.592
1245,391,-2.784
1245,392,-2.124
1245,399,2.58
1246,337,0.288
1246,338,-0.288
1246,339,0.276
1246,362,8.736
1246,363,8.592
1246,364,10.332
1246,365,-5.232
1246,366,6.3
1246,367,5.688
1246,369,9.192
1246,370,10.26
1246,371,4.464
1246,372,5.688
1246,373,5.688
1246,390,-2.544
1246,391,-2.688
1246,392,-2.112
1246,399,2.58
1251,337,0.288
1251,338,-0.288
1251,339,0.288
1251,362,8.712
1251,363,9.108
1251,364,9.948
1251,365,0.288
1251,366,6.3
1251,367,5.688
1251,369,10.404
1251,370,10.812
1251,371,4.452
1251,372,5.688
1251,373,5.688
1251,390,3.324
1251,391,-3.78
1251,392,-2.16
1251,399,2.58
1252,337,0.288
1252,338,-0.288
1252,339,0.288
1252,362,8.52
1252,363,8.844
1252,364,10.152
1252,365,-6.06
1252,366,6.3
1252,367,5.688
1252,369,9.732
1252,370,10.584
1252,371,4.464
1252,372,5.688
1252,373,5.688
1252,390,-2.784
1252,391,-3.168
1252,392,-2.136
1252,399,2.58
1253,337,0.288
1253,338,-0.288
1253,339,0.288
1253,362,8.472
1253,363,8.772
1253,364,10.2
1253,365,-5.82
1253,366,6.3
1253,367,5.688
1253,369,9.54
1253,370,10.488
1253,371,4.464
1253,372,5.688
1253,373,5.688
1253,390,-2.712
1253,391,-3.012
1253,392,-2.124
1253,399,2.58
1254,337,0.276
1254,338,-0.288
1254,339,0.276
1254,362,8.424
1254,363,8.688
1254,364,10.248
1254,365,-5.592
1254,366,6.3
1254,367,5.688
1254,369,9.36
1254,370,10.38
1254,371,4.464
1254,372,5.688
1254,373,5.688
1254,390,-2.64
1254,391,-2.892
1254,392,-2.124
1254,399,2.58
1255,337,0.276
1255,338,-0.288
1255,339,0.276
1255,362,8.376
1255,363,8.616
1255,364,10.284
1255,365,-5.376
1255,366,6.3
1255,367,5.688
1255,369,9.192
1255,370,10.272
1255,371,4.464
1255,372,5.688
1255,373,5.688
1255,390,-2.592
1255,391,-2.772
1255,392,-2.112
1255,399,2.58
1256,337,0.276
1256,338,-0.288
1256,339,0.276
1256,362,8.34
1256,363,8.556
1256,364,10.32
1256,365,-5.184
1256,366,6.3
1256,367,5.688
1256,369,9.048
1256,370,10.176
1256,371,4.464
1256,372,5.688
1256,373,5.688
1256,390,-2.532
1256,391,-2.676
1256,392,-2.112
1256,399,2.58
1261,337,0.276
1261,338,-0.276
1261,339,0.288
1261,362,8.328
1261,363,9.072
1261,364,9.924
1261,365,0.288
1261,366,6.3
1261,367,5.688
1261,369,10.2
1261,370,10.704
1261,371,4.452
1261,372,5.688
1261,373,5.688
1261,390,3.312
1261,391,-3.768
1261,392,-2.16
1261,399,2.58
1262,337,0.276
1262,338,-0.276
1262,339,0.288
1262,362,8.148
1262,363,8.808
1262,364,10.128
1262,365,-6
1262,366,6.3
1262,367,5.688
1262,369,9.552
1262,370,10.5
1262,371,4.464
1262,372,5.688
1262,373,5.688
1262,390,-2.784
1262,391,-3.144
1262,392,-2.136
1262,399,2.58
1263,337,0.276
1263,338,-0.276
1263,339,0.288
1263,362,8.1
1263,363,8.736
1263,364,10.188
1263,365,-5.772
1263,366,6.3
1263,367,5.688
1263,369,9.372
1263,370,10.404
1263,371,4.464
1263,372,5.688
1263,373,5.688
1263,390,-2.712
1263,391,-3
1263,392,-2.124
1263,399,2.58
1264,337,0.276
1264,338,-0.276
1264,339,0.276
1264,362,8.052
1264,363,8.664
1264,364,10.224
1264,365,-5.556
1264,366,6.3
1264,367,5.688
1264,369,9.192
1264,370,10.296
1264,371,4.464
1264,372,5.688
1264,373,5.688
1264,390,-2.64
1264,391,-2.868
1264,392,-2.124
1264,399,2.58
1265,337,0.276
1265,338,-0.276
1265,339,0.276
1265,362,8.016
1265,363,8.592
1265,364,10.272
1265,365,-5.34
1265,366,6.3
1265,367,5.688
1265,369,9.036
1265,370,10.2
1265,371,4.464
1265,372,5.688
1265,373,5.688
1265,390,-2.58
1265,391,-2.76
1265,392,-2.112
1265,399,2.58
1266,337,0.276
1266,338,-0.276
1266,339,0.276
1266,362,7.98
1266,363,8.532
1266,364,10.308
1266,365,-5.136
1266,366,6.3
1266,367,5.688
1266,369,8.892
1266,370,10.092
1266,371,4.464
1266,372,5.688
1266,373,5.688
1266,390,-2.532
1266,391,-2.664
1266,392,-2.112
1266,399,2.58
1311,337,0.36
1311,338,-0.324
1311,339,0.276
1311,362,0.42
1311,363,10.008
1311,364,9.864
1311,365,-0.288
1311,366,6.192
1311,367,5.592
1311,369,12.948
1311,370,11.94
1311,371,4.392
1311,372,5.592
1311,373,5.592
1311,390,-3.312
1311,391,-3.948
1311,392,-2.148
1311,399,2.544
1312,337,0.36
1312,338,-0.324
1312,339,0.276
1312,362,0.408
1312,363,9.468
1312,364,10.092
1312,365,-6.576
1312,366,6.192
1312,367,5.592
1312,369,12.012
1312,370,11.58
1312,371,4.392
1312,372,5.592
1312,373,5.592
1312,390,-2.952
1312,391,-3.372
1312,392,-2.112
1312,399,2.532
1313,337,0.36
1313,338,-0.324
1313,339,0.276
1313,362,0.408
1313,363,9.348
1313,364,10.152
1313,365,-6.288
1313,366,6.192
1313,367,5.592
1313,369,11.748
1313,370,11.448
1313,371,4.392
1313,372,5.592
1313,373,5.592
1313,390,-2.868
1313,391,-3.216
1313,392,-2.112
1313,399,2.532
1314,337,0.36
1314,338,-0.312
1314,339,0.276
1314,362,0.408
1314,363,9.24
1314,364,10.188
1314,365,-6.024
1314,366,6.18
1314,367,5.592
1314,369,11.52
1314,370,11.328
1314,371,4.392
1314,372,5.592
1314,373,5.592
1314,390,-2.796
1314,391,-3.084
1314,392,-2.1
1314,399,2.532
1315,337,0.36
1315,338,-0.312
1315,339,0.276
1315,362,0.408
1315,363,9.144
1315,364,10.224
1315,365,-5.784
1315,366,6.18
1315,367,5.592
1315,369,11.304
1315,370,11.196
1315,371,4.392
1315,372,5.592
1315,373,5.592
1315,390,-2.736
1315,391,-2.964
1315,392,-2.1
1315,399,2.532
1316,337,0.372
1316,338,-0.312
1316,339,0.276
1316,362,0.408
1316,363,9.048
1316,364,10.26
1316,365,-5.544
1316,366,6.18
1316,367,5.592
1316,369,11.1
1316,370,11.076
1316,371,4.392
1316,372,5.592
1316,373,5.592
1316,390,-2.676
1316,391,-2.856
1316,392,-2.088
1316,399,2.532
1321,337,0.312
1321,338,-0.288
1321,339,0.276
1321,362,10.464
1321,363,9.264
1321,364,9.78
1321,365,0.288
1321,366,6.192
1321,367,5.592
1321,369,11.088
1321,370,11.316
1321,371,4.392
1321,372,5.592
1321,373,5.592
1321,390,3.252
1321,391,-3.948
1321,392,-2.112
1321,399,2.532
1322,337,0.3
1322,338,-0.288
1322,339,0.276
1322,362,10.092
1322,363,8.94
1322,364,9.984
1322,365,-6.276
1322,366,6.18
1322,367,5.592
1322,369,10.296
1322,370,11.028
1322,371,4.392
1322,372,5.592
1322,373,5.592
1322,390,-2.88
1322,391,-3.348
1322,392,-2.088
1322,399,2.532
1323,337,0.3
1323,338,-0.288
1323,339,0.276
1323,362,9.996
1323,363,8.844
1323,364,10.044
1323,365,-6.012
1323,366,6.18
1323,367,5.592
1323,369,10.068
1323,370,10.908
1323,371,4.392
1323,372,5.592
1323,373,5.592
